GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_TeraPirateZ_2,Orbit_Yossi_dummybot_4,Group H,2026-02-22 11:23:20,1274,3,"[""=== RPSLS Match: Orbit_TeraPirateZ_2 vs Orbit_Yossi_dummybot_4 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_TeraPirateZ_2 (Paper) beats Orbit_Yossi_dummybot_4 (Spock) - Score: 1-0"",""Round 2: Orbit_Yossi_dummybot_4 (Spock) beats Orbit_TeraPirateZ_2 (Scissors) - Score: 1-1"",""Round 3: Orbit_TeraPirateZ_2 (Lizard) beats Orbit_Yossi_dummybot_4 (Spock) - Score: 2-1"",""Round 4: Draw - Spock vs Spock - Score: 2-1"",""Round 5: Orbit_Yossi_dummybot_4 (Spock) beats Orbit_TeraPirateZ_2 (Rock) - Score: 2-2"",""Round 6: Orbit_TeraPirateZ_2 (Paper) beats Orbit_Yossi_dummybot_4 (Spock) - Score: 3-2"",""Round 7: Orbit_Yossi_dummybot_4 (Spock) beats Orbit_TeraPirateZ_2 (Scissors) - Score: 3-3"",""Round 8: Orbit_TeraPirateZ_2 (Lizard) beats Orbit_Yossi_dummybot_4 (Spock) - Score: 4-3"",""Round 9: Draw - Spock vs Spock - Score: 4-3"",""Round 10: Orbit_Yossi_dummybot_4 (Spock) beats Orbit_TeraPirateZ_2 (Rock) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_TeraPirateZ_2 4 - 4 Orbit_Yossi_dummybot_4"",""Duration: 00:00:01.2748917""]"
﻿RPSLS,Orbit_Yossi_winnerbot_17,Orbit_Yossi_winnerbot_25,Group G,2026-02-22 11:23:20,1347,3,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_17 vs Orbit_Yossi_winnerbot_25 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Scissors vs Scissors - Score: 0-0"",""Round 2: Draw - Rock vs Rock - Score: 0-0"",""Round 3: Draw - Rock vs Rock - Score: 0-0"",""Round 4: Draw - Lizard vs Lizard - Score: 0-0"",""Round 5: Draw - Paper vs Paper - Score: 0-0"",""Round 6: Draw - Scissors vs Scissors - Score: 0-0"",""Round 7: Draw - Rock vs Rock - Score: 0-0"",""Round 8: Draw - Rock vs Rock - Score: 0-0"",""Round 9: Draw - Lizard vs Lizard - Score: 0-0"",""Round 10: Draw - Paper vs Paper - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_17 0 - 0 Orbit_Yossi_winnerbot_25"",""Duration: 00:00:01.3472019""]"
﻿RPSLS,Orbit_LightningLightning3000_511,Orbit_AggressorBot,Group A,2026-02-22 11:23:20,1180,1,"[""=== RPSLS Match: Orbit_LightningLightning3000_511 vs Orbit_AggressorBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_LightningLightning3000_511 (Paper) beats Orbit_AggressorBot (Rock) - Score: 1-0"",""Round 2: Orbit_LightningLightning3000_511 (Scissors) beats Orbit_AggressorBot (Lizard) - Score: 2-0"",""Round 3: Orbit_LightningLightning3000_511 (Lizard) beats Orbit_AggressorBot (Spock) - Score: 3-0"",""Round 4: Orbit_AggressorBot (Paper) beats Orbit_LightningLightning3000_511 (Spock) - Score: 3-1"",""Round 5: Orbit_LightningLightning3000_511 (Rock) beats Orbit_AggressorBot (Lizard) - Score: 4-1"",""Round 6: Orbit_LightningLightning3000_511 (Paper) beats Orbit_AggressorBot (Rock) - Score: 5-1"",""Round 7: Draw - Scissors vs Scissors - Score: 5-1"",""Round 8: Orbit_LightningLightning3000_511 (Lizard) beats Orbit_AggressorBot (Spock) - Score: 6-1"",""Round 9: Orbit_AggressorBot (Paper) beats Orbit_LightningLightning3000_511 (Spock) - Score: 6-2"",""Round 10: Orbit_LightningLightning3000_511 (Rock) beats Orbit_AggressorBot (Lizard) - Score: 7-2"","""",""=== Final Result ==="",""Winner: Orbit_LightningLightning3000_511"",""Final Score: Orbit_LightningLightning3000_511 7 - 2 Orbit_AggressorBot"",""Duration: 00:00:01.1806412""]"
﻿RPSLS,Orbit_HyperAndroidMK1_508,Orbit_PatternBot,Group I,2026-02-22 11:23:20,1516,2,"[""=== RPSLS Match: Orbit_HyperAndroidMK1_508 vs Orbit_PatternBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_HyperAndroidMK1_508 (Paper) beats Orbit_PatternBot (Spock) - Score: 1-0"",""Round 2: Orbit_HyperAndroidMK1_508 (Scissors) beats Orbit_PatternBot (Lizard) - Score: 2-0"",""Round 3: Orbit_PatternBot (Scissors) beats Orbit_HyperAndroidMK1_508 (Lizard) - Score: 2-1"",""Round 4: Draw - Spock vs Spock - Score: 2-1"",""Round 5: Orbit_PatternBot (Paper) beats Orbit_HyperAndroidMK1_508 (Rock) - Score: 2-2"",""Round 6: Orbit_PatternBot (Scissors) beats Orbit_HyperAndroidMK1_508 (Paper) - Score: 2-3"",""Round 7: Orbit_PatternBot (Rock) beats Orbit_HyperAndroidMK1_508 (Scissors) - Score: 2-4"",""Round 8: Orbit_HyperAndroidMK1_508 (Lizard) beats Orbit_PatternBot (Paper) - Score: 3-4"",""Round 9: Orbit_HyperAndroidMK1_508 (Spock) beats Orbit_PatternBot (Scissors) - Score: 4-4"",""Round 10: Orbit_PatternBot (Paper) beats Orbit_HyperAndroidMK1_508 (Rock) - Score: 4-5"","""",""=== Final Result ==="",""Winner: Orbit_PatternBot"",""Final Score: Orbit_HyperAndroidMK1_508 4 - 5 Orbit_PatternBot"",""Duration: 00:00:01.5160840""]"
﻿RPSLS,Orbit_MacroBladeOmega_8,mylovelybot_yossi_or,Group F,2026-02-22 11:23:20,1806,1,"[""=== RPSLS Match: Orbit_MacroBladeOmega_8 vs mylovelybot_yossi_or ==="",""Max Rounds: 10"","""",""Round 1: mylovelybot_yossi_or (Lizard) beats Orbit_MacroBladeOmega_8 (Paper) - Score: 0-1"",""Round 2: Orbit_MacroBladeOmega_8 (Scissors) beats mylovelybot_yossi_or (Lizard) - Score: 1-1"",""Round 3: mylovelybot_yossi_or (Rock) beats Orbit_MacroBladeOmega_8 (Lizard) - Score: 1-2"",""Round 4: Orbit_MacroBladeOmega_8 (Spock) beats mylovelybot_yossi_or (Scissors) - Score: 2-2"",""Round 5: Orbit_MacroBladeOmega_8 (Rock) beats mylovelybot_yossi_or (Lizard) - Score: 3-2"",""Round 6: Orbit_MacroBladeOmega_8 (Paper) beats mylovelybot_yossi_or (Rock) - Score: 4-2"",""Round 7: Draw - Scissors vs Scissors - Score: 4-2"",""Round 8: mylovelybot_yossi_or (Rock) beats Orbit_MacroBladeOmega_8 (Lizard) - Score: 4-3"",""Round 9: Draw - Spock vs Spock - Score: 4-3"",""Round 10: Draw - Rock vs Rock - Score: 4-3"","""",""=== Final Result ==="",""Winner: Orbit_MacroBladeOmega_8"",""Final Score: Orbit_MacroBladeOmega_8 4 - 3 mylovelybot_yossi_or"",""Duration: 00:00:01.8066707""]"
﻿RPSLS,Tribble,Orbit_SprintGorillaSigma_19,Group G,2026-02-22 11:23:20,1526,1,"[""=== RPSLS Match: Tribble vs Orbit_SprintGorillaSigma_19 ==="",""Max Rounds: 10"","""",""Round 1: Tribble (Lizard) beats Orbit_SprintGorillaSigma_19 (Paper) - Score: 1-0"",""Round 2: Tribble (Spock) beats Orbit_SprintGorillaSigma_19 (Scissors) - Score: 2-0"",""Round 3: Tribble (Rock) beats Orbit_SprintGorillaSigma_19 (Lizard) - Score: 3-0"",""Round 4: Draw - Spock vs Spock - Score: 3-0"",""Round 5: Tribble (Spock) beats Orbit_SprintGorillaSigma_19 (Rock) - Score: 4-0"",""Round 6: Tribble (Lizard) beats Orbit_SprintGorillaSigma_19 (Paper) - Score: 5-0"",""Round 7: Tribble (Rock) beats Orbit_SprintGorillaSigma_19 (Scissors) - Score: 6-0"",""Round 8: Tribble (Scissors) beats Orbit_SprintGorillaSigma_19 (Lizard) - Score: 7-0"",""Round 9: Tribble (Lizard) beats Orbit_SprintGorillaSigma_19 (Spock) - Score: 8-0"",""Round 10: Tribble (Paper) beats Orbit_SprintGorillaSigma_19 (Rock) - Score: 9-0"","""",""=== Final Result ==="",""Winner: Tribble"",""Final Score: Tribble 9 - 0 Orbit_SprintGorillaSigma_19"",""Duration: 00:00:01.5262211""]"
﻿RPSLS,Orbit_MacroBladeOmega_8,Orbit_LegendarySpiritMaster_0,Group F,2026-02-22 11:23:20,1009,3,"[""=== RPSLS Match: Orbit_MacroBladeOmega_8 vs Orbit_LegendarySpiritMaster_0 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_MacroBladeOmega_8 0 - 0 Orbit_LegendarySpiritMaster_0"",""Duration: 00:00:01.0098767""]"
﻿RPSLS,Orbit_WiseBladeTwo_523,Orbit_AggressorBot,Group A,2026-02-22 11:23:20,1227,2,"[""=== RPSLS Match: Orbit_WiseBladeTwo_523 vs Orbit_AggressorBot ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Orbit_AggressorBot (Rock) beats Orbit_WiseBladeTwo_523 (Lizard) - Score: 0-1"",""Round 4: Orbit_WiseBladeTwo_523 (Spock) beats Orbit_AggressorBot (Scissors) - Score: 1-1"",""Round 5: Orbit_AggressorBot (Spock) beats Orbit_WiseBladeTwo_523 (Rock) - Score: 1-2"",""Round 6: Draw - Paper vs Paper - Score: 1-2"",""Round 7: Orbit_WiseBladeTwo_523 (Scissors) beats Orbit_AggressorBot (Lizard) - Score: 2-2"",""Round 8: Orbit_AggressorBot (Rock) beats Orbit_WiseBladeTwo_523 (Lizard) - Score: 2-3"",""Round 9: Orbit_WiseBladeTwo_523 (Spock) beats Orbit_AggressorBot (Scissors) - Score: 3-3"",""Round 10: Orbit_AggressorBot (Spock) beats Orbit_WiseBladeTwo_523 (Rock) - Score: 3-4"","""",""=== Final Result ==="",""Winner: Orbit_AggressorBot"",""Final Score: Orbit_WiseBladeTwo_523 3 - 4 Orbit_AggressorBot"",""Duration: 00:00:01.2273765""]"
﻿RPSLS,adilipPatternHunter,Orbit_TeraRobotV1_529,Group H,2026-02-22 11:23:20,1307,2,"[""=== RPSLS Match: adilipPatternHunter vs Orbit_TeraRobotV1_529 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_TeraRobotV1_529 (Paper) beats adilipPatternHunter (Rock) - Score: 0-1"",""Round 2: adilipPatternHunter (Spock) beats Orbit_TeraRobotV1_529 (Scissors) - Score: 1-1"",""Round 3: adilipPatternHunter (Rock) beats Orbit_TeraRobotV1_529 (Lizard) - Score: 2-1"",""Round 4: Orbit_TeraRobotV1_529 (Spock) beats adilipPatternHunter (Rock) - Score: 2-2"",""Round 5: Orbit_TeraRobotV1_529 (Rock) beats adilipPatternHunter (Scissors) - Score: 2-3"",""Round 6: Orbit_TeraRobotV1_529 (Paper) beats adilipPatternHunter (Rock) - Score: 2-4"",""Round 7: Orbit_TeraRobotV1_529 (Scissors) beats adilipPatternHunter (Lizard) - Score: 2-5"",""Round 8: adilipPatternHunter (Rock) beats Orbit_TeraRobotV1_529 (Lizard) - Score: 3-5"",""Round 9: Orbit_TeraRobotV1_529 (Spock) beats adilipPatternHunter (Scissors) - Score: 3-6"",""Round 10: adilipPatternHunter (Spock) beats Orbit_TeraRobotV1_529 (Rock) - Score: 4-6"","""",""=== Final Result ==="",""Winner: Orbit_TeraRobotV1_529"",""Final Score: adilipPatternHunter 4 - 6 Orbit_TeraRobotV1_529"",""Duration: 00:00:01.3071564""]"
﻿RPSLS,Orbit_DarkGiantBot_527,Orbit_GammaTempestAI_3,Group D,2026-02-22 11:23:20,1188,3,"[""=== RPSLS Match: Orbit_DarkGiantBot_527 vs Orbit_GammaTempestAI_3 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_DarkGiantBot_527 0 - 0 Orbit_GammaTempestAI_3"",""Duration: 00:00:01.1884264""]"
﻿RPSLS,Orbit_CosmicMeteorAlpha_528,Orbit_CosmicCoreUltra_501,Group I,2026-02-22 11:23:20,1238,3,"[""=== RPSLS Match: Orbit_CosmicMeteorAlpha_528 vs Orbit_CosmicCoreUltra_501 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_CosmicMeteorAlpha_528 0 - 0 Orbit_CosmicCoreUltra_501"",""Duration: 00:00:01.2388683""]"
